wikidata	wg	external_name	external_short	external_wikidata	external_locale	external_link	external_type	source	curator	curation_date	comment	mediator(s)
Q141133894	Research Software Metadata	DiscoRSE			DE	https://www.discorse.de		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133939	Data Management Planning	Discipline-specific Guidance for Data Management Plans WG			International	https://www.rd-alliance.org/groups/discipline-specific-guidance-data-management-plans-wg		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133939	Data Management Planning	DINI/nestor-AG Forschungsdaten UAG DMP			DE	https://www.forschungsdaten.org/index.php/UAG_Datenmanagementpl%C3%A4ne		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133939	Data Management Planning	RDMO Consortium				https://rdmorganiser.github.io/rdmo_arge/		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133941	Data Science and Artificial Intelligence	Consortium of European Social Science Data Archives	CESSDA	Q19372318		https://www.cessda.eu		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133941	Data Science and Artificial Intelligence	GWDG						charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133941	Data Science and Artificial Intelligence	EG						charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133948	Identity and Access Management	EOSC AII				https://op.europa.eu/de/publication-detail/-/publication/d1bc3702-61e5-11eb-aeb5-01aa75ed71a1/language-de		charter	orcid:0000-0003-4423-4370	2026-06-05		
Q141133948	Identity and Access Management	Verbund für Nationales Hochleistungsrechnen	NHR			https://www.nhr-verein.de		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133948	Identity and Access Management	GAIX-X				https://www.gaia-x.eu		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133896	Search and Harvesting	NFDI Research Software Engineering WG		Q125747942	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133896	Search and Harvesting	NFDI Data Integration WG		Q141133933	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133896	Search and Harvesting	NFDI WG Onto		Q139055838	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133896	Search and Harvesting	NFDI WG Terminology		Q141133885	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133896	Search and Harvesting	NFDI WG KG		Q141133890	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133896	Search and Harvesting	RDA Data Discovery Paradigms IG			International	https://www.rd-alliance.org/groups/data-discovery-paradigms-ig	interest group	charter	orcid:0000-0003-4423-4370	2026-08-25		B. Mathiak (member), H. Widmann (member)
Q141133896	Search and Harvesting	RDA Data Granularity WG			International	https://www.rd-alliance.org/groups/data-granularity-wg	working group	charter	orcid:0000-0003-4423-4370	2026-08-25		B. Mathiak (co-chair)
Q141133896	Search and Harvesting	RDA IG FAIR Digital Object Fabric			International	www.rd-alliance.org/group/data-fabric-ig	working group	charter	orcid:0000-0003-4423-4370	2026-08-25		R. Stotzka (Co-chair)
Q141133896	Search and Harvesting	GoFAIR Discovery IN				https://www.go-fair.org/implementation-networks/overview/discovery/		charter	orcid:0000-0003-4423-4370	2026-08-25		B. Mathiak (Co-chair), H. Widmann (member)
